id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39190552,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,146015588,Ishka,Eixample,Sant Antoni,41.37642,2.15154,Private room,28,60,1,2021-09-10,0.05,2,364,0,
39213055,Rental unit in Barcelona · 4 bedrooms · 5 beds · 2 baths,157746231,Natalia,Eixample,Sant Antoni,41.37933,2.15952,Entire home/apt,74,32,0,,,37,0,0,
39548516,Rental unit in Barcelona · Studio · 1 bed · 1 bath,265193861,Joaquim,Ciutat Vella,el Raval,41.38387,2.16589,Entire home/apt,63,32,1,2021-08-12,0.04,129,242,0,
39549243,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,157294809,Emi,Sant Martí,el Camp de l'Arpa del Clot,41.40877,2.18307,Private room,30,4,0,,,5,0,0,
39814935,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 shared bath,306294339,Saul,Sant Martí,el Parc i la Llacuna del Poblenou,41.39161,2.18549,Private room,50,1,1,2019-11-06,0.02,1,0,0,
39213932,Rental unit in Barcelona · ★4.68 · 3 bedrooms · 5 beds · 1 bath,300793647,Brian,Eixample,el Fort Pienc,41.39842,2.1755,Entire home/apt,248,4,66,2023-05-22,1.48,5,33,27,HUTB-008672
39817705,Guest suite in Barcelona · ★4.82 · 2 bedrooms · 2 beds · 1 bath,305678597,Maria,Horta-Guinardó,el Carmel,41.42367,2.15223,Entire home/apt,104,4,33,2023-05-24,0.77,2,72,15,Exempt
39216912,Rental unit in Barcelona · ★4.25 · 1 bedroom · 1 bed · 1.5 shared baths,771458,Rita,Eixample,la Nova Esquerra de l'Eixample,41.3816,2.15479,Private room,17,32,4,2023-04-13,0.12,14,130,3,
39217023,Rental unit in Barcelona · ★4.20 · 2 bedrooms · 4 beds · 1 bath,299241906,Gesthotel,Ciutat Vella,el Raval,41.38338,2.17031,Entire home/apt,476,2,15,2023-03-05,0.34,4,129,7,HUTB-052254
39549641,casa particular in Barcelona · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,216464089,Paola,Horta-Guinardó,Sant Genís dels Agudells,41.42782,2.13251,Private room,55,3,6,2023-06-04,0.88,1,82,6,
